date,confirm_add,confirm,heal,dead
03.20,2,2,0,0
03.21,0,2,0,0
03.22,0,2,0,0
03.23,3,5,0,0
03.24,1,6,0,0
03.25,1,7,0,0
03.26,1,8,0,0
03.27,0,8,0,0
03.28,6,8,0,0
03.29,7,15,1,0
03.30,0,15,1,0
03.31,0,15,1,0
04.01,1,16,1,0
04.02,0,16,1,0
04.03,2,18,1,0
04.04,0,18,1,0
04.05,3,21,1,0
04.06,0,21,1,1
04.07,3,24,0,1
04.08,1,25,0,1
04.09,5,30,0,2
04.10,0,30,0,2
04.11,1,31,0,2
04.12,2,33,0,3
04.13,0,33,0,3
04.14,7,40,0,3
04.15,0,40,0,3
04.16,1,41,0,3
04.17,2,43,0,3
04.18,1,44,0,3
04.19,0,44,0,3
04.20,3,47,0,3
04.21,10,57,0,3
04.22,1,58,2,4
04.23,4,62,2,4
04.24,10,72,2,5
04.25,0,72,6,6
04.26,0,72,6,6
04.27,2,74,7,6
04.28,2,76,8,6
04.29,0,76,8,6
04.30,0,76,8,7
05.01,5,81,8,8
05.02,4,85,10,8
05.03,0,85,10,8
05.04,3,88,10,9
05.05,12,100,10,11
05.06,1,101,10,12
05.07,7,108,15,12
05.08,21,129,16,12
05.09,17,146,17,12
05.10,5,151,17,12
05.11,31,182,17,15
05.12,27,209,17,16
05.13,10,219,17,18
05.14,15,234,17,18
05.15,39,273,18,20
05.16,37,310,29,20
05.17,48,358,29,20
05.18,98,456,21,20
05.19,77,533,21,21
05.20,63,596,21,22
05.21,67,663,21,22
05.22,71,734,21,25
05.23,78,812,22,25
05.24,53,865,22,26
05.25,93,958,22,27
05.26,105,1063,22,31
05.27,111,1174,22,33
05.28,146,1320,22,34
05.29,123,1443,22,35
05.30,141,1584,22,35
05.31,281,1865,24,41
06.01,259,2124,24,44
06.02,102,2226,24,45
06.03,0,2226,24,45
06.04,414,2640,24,50
06.05,0,2640,24,50
06.06,284,2924,24,50
06.07,148,3072,24,50
06.08,262,3334,24,51
06.09,204,3538,24,54
06.10,124,3662,24,56
06.11,134,3796,24,58
06.12,145,3941,24,64
06.13,0,3941,24,64
06.14,224,4165,24,70
06.15,144,4309,24,73
06.16,132,4441,24,76
06.17,106,4547,24,80
06.18,141,4688,24,82
06.19,228,4916,24,84
06.20,64,4980,24,87
06.21,97,5077,24,88
06.22,134,5211,24,88
06.23,0,5211,24,88
06.24,113,5324,436,89
06.25,105,5429,512,92
06.26,114,5543,512,96
06.27,179,5722,641,98
06.28,55,5777,706,100
06.29,70,5847,787,104
06.30,86,5933,839,105
07.01,42,5975,931,105
07.02,65,6040,1032,107
07.03,61,6101,1141,110
07.04,129,6230,1286,110
07.05,64,6294,1408,113
07.06,39,6333,1549,113
07.07,38,6371,1824,113
07.08,61,6432,2080,117
07.09,54,6486,2181,123
07.10,96,6582,2459,130
07.11,35,6617,2590,135
07.12,73,6690,2590,139
07.13,37,6727,2924,139
07.14,0,6727,3022,141
07.15,104,6831,3283,143
07.16,71,6902,3484,145
07.17,46,6948,3606,145
07.18,27,6975,3738,146
07.19,78,7053,3877,146
07.20,0,7053,3877,146
07.21,47,7100,4095,151
07.22,46,7146,4095,154
