date,confirm_add,confirm,heal,dead
03.14,2,2,0,0
03.15,0,2,0,0
03.16,0,2,0,0
03.17,0,2,0,0
03.18,0,2,0,0
03.19,0,2,0,0
03.20,0,2,0,0
03.21,1,3,0,0
03.22,0,3,0,0
03.23,0,3,0,0
03.24,2,4,0,0
03.25,3,7,0,0
03.26,0,7,2,0
03.27,1,8,0,0
03.28,0,8,2,0
03.29,3,11,0,0
03.30,0,11,2,0
03.31,0,11,2,0
04.01,3,14,2,0
04.02,0,14,2,0
04.03,0,14,3,0
04.04,0,14,3,0
04.05,2,16,3,0
04.06,0,16,3,0
04.07,0,16,3,0
04.08,0,16,3,0
04.09,0,16,3,0
04.10,0,16,3,0
04.11,0,16,3,0
04.12,0,16,3,0
04.13,0,16,3,0
04.14,0,16,3,0
04.15,0,16,3,0
04.16,0,16,4,0
04.17,0,16,4,0
04.18,0,16,6,0
04.19,0,16,6,0
04.20,0,16,6,0
04.21,0,16,6,0
04.22,0,16,6,0
04.23,0,16,7,0
04.24,0,16,7,0
04.25,0,16,7,0
04.26,0,16,8,0
04.27,0,16,8,0
04.28,0,16,8,0
04.29,0,16,8,0
04.30,0,16,8,0
05.01,0,16,8,0
05.02,0,16,8,0
05.03,0,16,8,0
05.04,0,16,8,0
05.05,0,16,8,0
05.06,0,16,8,0
05.07,0,16,9,0
05.08,0,16,9,0
05.09,0,16,10,0
05.10,0,16,11,0
05.11,0,16,11,0
05.12,0,16,11,0
05.13,0,16,11,0
05.14,0,16,12,0
05.15,0,16,13,0
05.16,0,16,13,0
05.17,0,16,13,0
05.18,0,16,13,0
05.19,0,16,13,0
05.20,0,16,14,0
05.21,2,18,14,0
05.22,1,19,14,0
05.23,1,20,14,0
05.24,1,21,14,0
05.25,0,21,14,0
05.26,0,21,14,0
05.27,1,22,14,0
05.28,0,22,14,0
05.29,1,23,14,0
05.30,0,23,14,0
05.31,1,24,14,0
06.01,1,25,16,0
06.02,0,25,16,0
06.03,0,25,16,0
06.04,0,25,16,0
06.05,0,25,16,0
06.06,4,29,16,0
06.07,0,29,16,0
06.08,2,31,16,0
06.09,0,31,16,0
06.10,0,31,17,0
06.11,0,31,17,0
06.12,0,31,17,0
06.13,1,32,17,0
06.14,0,32,17,0
06.15,0,32,17,0
06.16,2,34,18,0
06.17,0,34,18,0
06.18,5,39,19,0
06.19,1,40,19,0
06.20,6,46,19,0
06.21,9,55,19,0
06.22,8,63,21,0
06.23,4,67,21,0
06.24,9,76,21,0
06.25,14,90,21,0
06.26,15,105,21,0
06.27,16,121,22,0
06.28,29,150,22,0
06.29,33,183,24,0
06.30,20,203,24,0
07.01,54,257,24,0
07.02,36,293,24,0
07.03,42,335,25,0
07.04,40,375,25,0
07.05,37,412,25,0
07.06,73,485,25,0
07.07,54,539,25,0
07.08,54,593,25,0
07.09,22,615,25,0
07.10,52,667,25,1
07.11,1,668,25,1
07.12,117,785,26,1
07.13,76,861,28,1
07.14,3,864,29,2
07.15,96,960,31,2
07.16,72,1032,31,2
07.17,0,1032,31,2
07.18,171,1203,32,2
07.19,0,1203,32,2
07.20,141,1344,42,4
07.21,22,1366,57,7
07.22,0,1366,57,7
