date,confirm_add,confirm,heal,dead
03.24,2,2,0,0
03.25,1,3,0,0
03.26,0,3,0,0
03.27,2,5,0,0
03.28,3,8,0,0
03.29,0,8,0,0
03.30,6,14,0,0
03.31,0,14,0,1
04.01,1,15,0,1
04.02,1,16,0,1
04.03,6,20,0,1
04.04,0,20,0,1
04.05,1,21,0,1
04.06,0,21,0,1
04.07,1,22,0,1
04.08,0,22,0,3
04.09,1,23,1,3
04.10,4,27,2,3
04.11,1,28,2,3
04.12,10,38,2,3
04.13,3,41,2,4
04.14,21,62,2,4
04.15,12,74,2,4
04.16,11,85,2,4
04.17,3,88,5,4
04.18,6,94,5,5
04.19,14,108,7,5
04.20,3,111,7,5
04.21,8,119,7,5
04.22,2,121,7,5
04.23,11,132,9,5
04.24,7,139,9,5
04.25,5,144,9,5
04.26,2,146,10,5
04.27,0,146,10,5
04.28,3,149,16,5
04.29,1,150,16,6
04.30,0,150,27,6
05.01,1,151,28,6
05.02,0,151,37,6
05.03,0,151,37,6
05.04,10,161,49,6
05.05,0,161,49,6
05.06,0,161,49,6
05.07,15,176,62,6
05.08,0,176,67,6
05.09,2,178,68,6
05.10,2,180,72,6
05.11,0,180,72,6
05.12,0,180,74,6
05.13,1,181,79,6
05.14,0,181,84,6
05.15,0,181,84,6
05.16,1,182,89,6
05.17,0,182,96,6
05.18,5,187,97,6
05.19,4,191,101,6
05.20,2,193,104,6
05.21,6,199,108,6
05.22,0,199,108,6
05.23,2,201,116,6
05.24,0,201,122,6
05.25,2,203,123,6
05.26,3,206,124,6
05.27,0,206,126,6
05.28,0,206,126,6
05.29,0,206,126,6
05.30,18,224,130,6
05.31,0,224,130,6
06.01,4,228,138,6
06.02,0,228,138,6
06.03,4,232,143,6
06.04,4,236,148,6
06.05,0,236,151,6
06.06,0,236,151,6
06.07,6,242,156,6
06.08,1,243,156,6
06.09,3,246,159,6
06.10,0,246,159,6
06.11,14,260,165,6
06.12,1,261,165,6
06.13,0,261,167,6
06.14,0,261,167,6
06.15,1,262,175,6
06.16,0,262,175,6
06.17,0,262,185,6
06.18,1,263,185,6
06.19,23,286,187,6
06.20,1,287,196,6
06.21,3,290,200,6
06.22,0,290,200,6
06.23,2,292,204,6
06.24,1,293,208,6
06.25,0,293,208,6
06.26,0,293,211,6
06.27,0,293,216,6
06.28,3,296,216,6
06.29,3,299,221,6
06.30,0,299,221,6
07.01,4,303,222,6
07.02,1,304,222,6
07.03,2,306,237,6
07.04,7,313,240,6
07.05,0,313,240,6
07.06,3,316,245,6
07.07,0,316,245,6
07.08,0,316,245,6
07.09,1,317,250,6
07.10,9,326,256,6
07.11,4,330,260,6
07.12,1,331,261,6
07.13,0,331,261,6
07.14,6,337,261,6
07.15,0,337,261,6
07.16,0,337,266,6
07.17,2,339,270,6
07.18,0,339,271,6
07.19,2,341,273,6
07.20,0,341,276,6
07.21,0,341,278,6
07.22,0,341,280,6
