date,confirm_add,confirm,heal,dead
05.13,0,1,0,0
05.14,0,1,0,0
05.15,0,1,0,0
05.16,0,1,0,0
05.17,0,1,0,0
05.18,0,1,0,0
05.19,0,1,0,0
05.20,0,1,0,0
05.21,0,1,0,0
05.22,0,1,0,0
05.23,1,2,0,0
05.24,0,2,0,0
05.25,0,2,0,0
05.26,0,2,0,0
05.27,0,2,0,0
05.28,0,2,1,0
05.29,0,2,1,0
05.30,0,2,1,0
05.31,0,2,1,0
06.01,0,2,1,0
06.02,0,2,1,0
06.03,0,2,1,0
06.04,2,4,2,0
06.05,0,4,2,0
06.06,0,4,2,0
06.07,0,4,2,0
06.08,0,4,2,0
06.09,0,4,2,0
06.10,0,4,2,0
06.11,0,4,2,0
06.12,0,4,2,0
06.13,0,4,2,0
06.14,0,4,2,0
06.15,0,4,2,0
06.16,0,4,2,0
06.17,0,4,2,0
06.18,0,4,2,0
06.19,0,4,2,0
06.20,0,4,2,0
06.21,0,4,2,0
06.22,0,4,2,0
06.23,8,12,2,0
06.24,5,17,2,0
06.25,0,17,2,0
06.26,0,17,2,0
06.27,7,24,4,0
06.28,0,24,4,0
06.29,3,27,4,0
06.30,0,27,4,0
07.01,0,27,4,0
07.02,8,35,11,0
07.03,0,35,11,0
07.04,0,35,11,0
07.05,38,73,11,0
07.06,6,79,11,0
07.07,12,91,11,0
07.08,0,91,11,0
07.09,0,91,11,0
07.10,43,134,20,1
07.11,50,184,26,1
07.12,0,184,26,1
07.13,61,245,33,3
07.14,11,256,48,3
07.15,0,256,48,3
07.16,0,256,48,3
07.17,0,256,48,3
07.18,103,359,69,6
07.19,0,359,69,6
07.20,0,359,69,6
07.21,0,359,69,6
07.22,0,359,69,6
