date,confirm_add,confirm,heal,dead
03.10,1,1,0,0
03.11,0,1,0,0
03.12,0,1,0,0
03.13,0,1,0,0
03.14,0,1,0,0
03.15,0,1,0,0
03.16,0,1,0,0
03.17,3,4,0,0
03.18,2,6,0,0
03.19,0,6,0,0
03.20,0,6,0,0
03.21,4,10,0,0
03.22,0,10,0,0
03.23,0,10,0,0
03.24,0,10,0,0
03.25,0,10,0,0
03.26,1,11,0,0
03.27,0,11,0,0
03.28,1,12,0,0
03.29,0,12,0,0
03.30,0,12,2,0
03.31,0,12,2,0
04.01,2,14,2,0
04.02,0,14,2,0
04.03,0,14,2,0
04.04,0,14,2,0
04.05,0,14,2,0
04.06,1,15,2,0
04.07,0,15,4,0
04.08,1,16,4,0
04.09,0,16,4,0
04.10,0,16,4,0
04.11,0,16,4,0
04.12,0,16,4,0
04.13,1,17,4,0
04.14,13,30,5,0
04.15,0,30,5,0
04.16,1,31,5,0
04.17,0,31,5,0
04.18,0,31,5,0
04.19,1,32,7,0
04.20,1,33,7,0
04.21,1,34,8,0
04.22,1,35,8,0
04.23,0,35,8,0
04.24,1,36,9,0
04.25,1,37,9,0
04.26,1,38,9,0
04.27,0,38,10,0
04.28,0,38,10,0
04.29,0,38,10,0
04.30,0,38,10,0
05.01,0,38,10,0
05.02,1,39,10,0
05.03,0,39,10,0
05.04,1,40,12,0
05.05,1,41,13,0
05.06,0,41,13,0
05.07,0,41,13,0
05.08,1,42,13,0
05.09,0,42,14,0
05.10,0,42,14,0
05.11,0,42,14,0
05.12,0,42,15,0
05.13,0,42,15,0
05.14,19,61,15,0
05.15,37,98,20,0
05.16,37,135,20,0
05.17,1,136,21,0
05.18,4,140,24,0
05.19,0,140,26,0
05.20,0,140,26,0
05.21,0,140,26,0
05.22,1,141,28,0
05.23,0,141,30,0
05.24,0,141,32,0
05.25,0,141,33,0
05.26,0,141,37,0
05.27,7,148,43,0
05.28,13,161,43,0
05.29,18,179,43,0
05.30,0,179,44,0
05.31,0,179,44,0
06.01,6,185,44,0
06.02,0,185,44,0
06.03,0,185,44,0
06.04,1,186,65,0
06.05,5,191,70,0
06.06,2,193,71,0
06.07,0,193,75,0
06.08,1,194,75,0
06.09,0,194,85,0
06.10,0,194,87,0
06.11,0,194,89,0
06.12,3,197,95,0
06.13,0,197,95,0
06.14,0,197,98,0
06.15,0,197,108,0
06.16,0,197,109,0
06.17,0,197,111,0
06.18,4,201,127,0
06.19,3,204,132,0
06.20,0,204,139,0
06.21,2,206,139,0
06.22,7,213,153,0
06.23,2,215,158,0
06.24,0,215,168,0
06.25,1,216,169,0
06.26,3,219,170,0
06.27,0,219,175,0
06.28,0,219,175,0
06.29,1,220,175,0
06.30,0,220,175,0
07.01,0,220,176,0
07.02,0,220,177,0
07.03,0,220,179,0
07.04,0,220,183,0
07.05,0,220,185,0
07.06,0,220,188,0
07.07,5,225,194,0
07.08,2,227,195,0
07.09,0,227,197,0
07.10,0,227,197,0
07.11,0,227,200,0
07.12,3,230,202,0
07.13,0,230,203,0
07.14,13,243,204,0
07.15,18,261,207,0
07.16,0,261,209,0
07.17,1,262,211,0
07.18,25,287,211,0
07.19,0,287,213,0
07.20,0,287,213,0
07.21,0,287,213,0
07.22,0,287,213,0
