date,confirm_add,confirm,heal,dead
03.18,2,2,0,0
03.19,0,2,0,0
03.20,0,2,0,0
03.21,0,2,0,0
03.22,1,3,0,0
03.23,0,3,0,0
03.24,0,3,0,0
03.25,9,12,0,0
03.26,4,16,0,0
03.27,6,22,0,0
03.28,6,28,0,0
03.29,1,29,0,0
03.30,7,35,0,0
03.31,0,35,0,0
04.01,1,36,0,0
04.02,3,39,0,1
04.03,0,39,2,1
04.04,0,39,2,1
04.05,0,39,3,1
04.06,0,39,3,1
04.07,0,39,7,1
04.08,0,39,7,1
04.09,0,39,7,1
04.10,1,40,25,2
04.11,0,40,28,2
04.12,3,43,30,2
04.13,0,43,30,2
04.14,2,45,30,2
04.15,3,48,30,2
04.16,0,48,30,2
04.17,4,52,30,2
04.18,5,57,33,2
04.19,4,61,33,3
04.20,4,65,35,3
04.21,5,70,35,3
04.22,4,74,35,3
04.23,0,74,35,3
04.24,2,76,37,3
04.25,8,84,37,3
04.26,4,88,42,3
04.27,0,88,42,3
04.28,7,95,42,3
04.29,2,97,54,3
04.30,0,97,54,3
05.01,9,106,55,3
05.02,13,119,75,3
05.03,0,119,75,3
05.04,18,137,78,3
05.05,0,137,78,3
05.06,2,139,92,4
05.07,7,146,101,4
05.08,21,167,111,4
05.09,85,252,112,7
05.10,15,267,117,7
05.11,0,267,117,7
05.12,174,441,117,7
05.13,5,446,124,7
05.14,208,654,124,7
05.15,0,654,124,7
05.16,25,679,183,7
05.17,74,753,188,7
05.18,8,761,192,7
05.19,11,772,192,7
05.20,60,832,197,7
05.21,0,832,197,7
05.22,34,866,302,7
05.23,54,920,336,7
05.24,0,920,336,7
05.25,0,920,336,7
05.26,0,920,336,7
05.27,0,920,336,7
05.28,137,1057,779,7
05.29,0,1057,779,7
05.30,0,1057,779,7
05.31,0,1057,779,7
06.01,32,1089,912,7
06.02,0,1089,912,7
06.03,0,1089,912,7
06.04,0,1089,912,7
06.05,0,1089,912,7
06.06,0,1089,912,7
06.07,0,1089,912,7
06.08,111,1200,912,10
06.09,0,1200,912,10
06.10,0,1200,912,10
06.11,0,1200,912,10
06.12,0,1200,912,10
06.13,121,1321,1104,10
06.14,36,1357,1114,10
06.15,25,1382,1142,11
06.16,0,1382,1142,11
06.17,23,1405,1142,11
06.18,11,1416,1144,11
06.19,0,1416,1144,11
06.20,14,1430,1194,11
06.21,0,1430,1194,11
06.22,0,1430,1194,11
06.23,0,1430,1194,11
06.24,47,1477,1213,18
06.25,20,1497,1223,18
06.26,0,1497,1223,18
06.27,34,1531,1233,21
06.28,0,1531,1233,21
06.29,26,1557,1311,22
06.30,11,1568,1311,22
07.01,64,1632,1348,30
07.02,0,1632,1348,30
07.03,0,1632,1348,30
07.04,0,1632,1348,30
07.05,0,1632,1348,30
07.06,0,1632,1348,30
07.07,0,1632,1348,30
07.08,263,1895,1348,42
07.09,0,1895,1348,42
07.10,0,1895,1348,42
07.11,0,1895,1348,42
07.12,0,1895,1348,42
07.13,0,1895,1412,42
07.14,0,1895,1412,42
07.15,0,1895,1412,42
07.16,0,1895,1412,42
07.17,0,1895,1412,42
07.18,1085,2980,1462,120
07.19,0,2980,1462,120
07.20,346,3326,1620,128
07.21,0,3326,1620,128
07.22,257,3583,1677,128
