date,confirm_add,confirm,heal,dead
03.08,2,2,0,0
03.09,2,4,0,0
03.10,2,6,0,0
03.11,0,6,0,0
03.12,2,8,0,0
03.13,1,9,0,0
03.14,1,10,0,0
03.15,3,13,0,0
03.16,0,13,0,0
03.17,0,13,0,0
03.18,0,13,0,0
03.19,0,13,0,0
03.20,0,13,0,0
03.21,0,13,0,0
03.22,0,13,0,0
03.23,0,13,5,0
03.24,0,13,5,0
03.25,0,13,8,0
03.26,0,13,8,0
03.27,1,14,9,0
03.28,3,16,9,0
03.29,1,17,11,0
03.30,1,17,11,0
03.31,1,18,13,0
04.01,1,19,13,0
04.02,0,19,13,0
04.03,0,19,13,0
04.04,0,19,13,0
04.05,0,19,13,0
04.06,0,19,13,0
04.07,0,19,13,0
04.08,0,19,13,0
04.09,0,19,13,0
04.10,0,19,13,0
04.11,0,19,13,0
04.12,1,20,13,0
04.13,0,20,14,0
04.14,0,20,14,0
04.15,1,21,16,0
04.16,2,23,16,0
04.17,5,28,16,0
04.18,6,34,16,0
04.19,18,52,16,0
04.20,15,67,16,0
04.21,16,83,16,0
04.22,3,86,16,0
04.23,8,94,16,0
04.24,22,116,16,0
04.25,21,137,16,0
04.26,54,191,17,0
04.27,35,226,17,0
04.28,19,245,17,0
04.29,24,269,17,0
04.30,127,396,17,1
05.01,72,468,17,1
05.02,46,514,17,1
05.03,5,519,18,1
05.04,8,527,18,1
05.05,30,557,17,1
05.06,61,618,20,2
05.07,24,642,20,2
05.08,92,734,20,3
05.09,32,766,20,3
05.10,69,835,29,3
05.11,27,862,29,3
05.12,35,897,29,3
05.13,7,904,29,3
05.14,51,955,40,4
05.15,65,1020,45,4
05.16,58,1078,58,4
05.17,0,1078,58,4
05.18,16,1094,58,4
05.19,49,1143,80,4
05.20,43,1186,91,4
05.21,30,1216,91,4
05.22,0,1216,91,4
05.23,58,1274,109,4
05.24,39,1313,128,4
05.25,58,1371,144,4
05.26,24,1395,155,4
05.27,62,1457,197,5
05.28,0,1457,197,5
05.29,56,1513,197,5
05.30,120,1633,230,5
05.31,39,1672,406,5
06.01,101,1773,453,6
06.02,56,1829,488,7
06.03,12,1841,608,7
06.04,9,1850,644,7
06.05,22,1872,648,7
06.06,11,1883,717,8
06.07,18,1901,773,8
06.08,2,1903,827,8
06.09,13,1916,925,8
06.10,26,1942,1010,8
06.11,20,1962,1121,8
06.12,14,1976,1153,8
06.13,27,2003,1193,8
06.14,10,2013,1217,8
06.15,22,2035,1311,8
06.16,30,2065,1540,8
06.17,29,2094,1670,8
06.18,26,2120,1677,8
06.19,17,2137,1759,8
06.20,13,2150,1769,8
06.21,37,2187,1788,8
06.22,16,2203,1803,8
06.23,14,2217,1813,8
06.24,21,2238,1813,8
06.25,23,2261,1839,8
06.26,16,2277,1848,8
06.27,6,2283,1863,8
06.28,22,2305,1875,8
06.29,19,2324,1911,8
06.30,13,2337,1927,9
07.01,24,2361,1944,9
07.02,21,2382,1954,10
07.03,18,2400,1969,10
07.04,10,2410,1976,10
07.05,25,2435,2030,10
07.06,33,2468,2049,11
07.07,23,2491,2113,12
07.08,10,2501,2158,12
07.09,16,2517,2180,13
07.10,36,2553,2227,13
07.11,64,2617,2238,13
07.12,47,2664,2268,13
07.13,67,2731,2284,13
07.14,31,2762,2290,13
07.15,39,2801,2302,14
07.16,30,2831,2321,14
07.17,68,2899,2339,15
07.18,14,2913,2340,15
07.19,17,2930,2354,15
07.20,36,2966,2362,15
07.21,33,2999,2369,15
07.22,45,3044,2397,15
